Brand,Model,Series,RAM,Storage,Cashify Price (INR),Cashify + 3% Price (INR),Cashify Link
"Apple","iPhone 17 Pro Max","iPhone 17 Series","N/A","256 GB",109000,112270,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-max-256-gb"
"Apple","iPhone 17 Pro Max","iPhone 17 Series","N/A","512 GB",115500,118965,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-max-512-gb"
"Apple","iPhone 17 Pro Max","iPhone 17 Series","N/A","1024 GB",119500,123085,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-max-1024-gb"
"Apple","iPhone 17 Pro Max","iPhone 17 Series","N/A","2048 GB",125000,128750,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-max-2048-gb"
"Apple","iPhone 17 Pro","iPhone 17 Series","N/A","256 GB",101000,104030,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-256-gb"
"Apple","iPhone 17 Pro","iPhone 17 Series","N/A","512 GB",106000,109180,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-512-gb"
"Apple","iPhone 17 Pro","iPhone 17 Series","N/A","1024 GB",111000,114330,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-1024-gb"
"Apple","iPhone 17 Pro","iPhone 17 Series","N/A","2048 GB",116500,119995,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-pro-2048-gb"
"Apple","iPhone 17 Air","iPhone 17 Series","N/A","256 GB",85000,87550,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-air-256-gb"
"Apple","iPhone 17 Air","iPhone 17 Series","N/A","512 GB",90000,92700,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-air-512-gb"
"Apple","iPhone 17 Air","iPhone 17 Series","N/A","1024 GB",95000,97850,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-air-1024-gb"
"Apple","iPhone 17 Air","iPhone 17 Series","N/A","2048 GB",100500,103515,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-air-2048-gb"
"Apple","iPhone 17","iPhone 17 Series","N/A","128 GB",53000,54590,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-128-gb"
"Apple","iPhone 17","iPhone 17 Series","N/A","256 GB",59000,60770,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-256-gb"
"Apple","iPhone 17","iPhone 17 Series","N/A","512 GB",64500,66435,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-512-gb"
"Apple","iPhone 17","iPhone 17 Series","N/A","1024 GB",69500,71585,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-17-1024-gb"
"Apple","iPhone 16 Pro Max","iPhone 16 Series","N/A","256 GB",96000,98880,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-pro-max-256-gb"
"Apple","iPhone 16 Pro Max","iPhone 16 Series","N/A","512 GB",102500,105575,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-pro-max-512-gb"
"Apple","iPhone 16 Pro Max","iPhone 16 Series","N/A","1024 GB",106500,109695,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-pro-max-1024-gb"
"Apple","iPhone 16 Pro","iPhone 16 Series","N/A","128 GB",80800,83224,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-pro-128-gb"
"Apple","iPhone 16 Pro","iPhone 16 Series","N/A","256 GB",86800,89404,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-pro-256-gb"
"Apple","iPhone 16 Pro","iPhone 16 Series","N/A","512 GB",91800,94554,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-pro-512-gb"
"Apple","iPhone 16 Pro","iPhone 16 Series","N/A","1024 GB",96800,99704,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-pro-1024-gb"
"Apple","iPhone 16 Plus","iPhone 16 Series","N/A","128 GB",46500,47895,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-plus-128-gb"
